pmid,gene,doi,title,abstract,year,keywords,pubmed_count
33649219,MRC1,10.1073/pnas.2017089118,TAp73 represses NF-&#x3ba;B-mediated recruitment of tumor-associated macrophages in breast cancer.,"Infiltration of tumor-promoting immune cells is a strong driver of tumor progression. Especially the accumulation of macrophages in the tumor microenvironment is known to facilitate tumor growth and to correlate with poor prognosis in many tumor types. TAp73, a member of the p53/p63/p73 family, acts as a tumor suppressor and has been shown to suppress tumor angiogenesis. However, what role TAp73 has in regulating immune cell infiltration is unknown. Here, we report that low levels of TAp73 correlate with an increased NF-&#x3ba;B-regulated inflammatory signature in breast cancer. Furthermore, we show that loss of TAp73 results in NF-&#x3ba;B hyperactivation and secretion of Ccl2, a known NF-&#x3ba;B target and chemoattractant for monocytes and macrophages. Importantly, TAp73-deficient tumors display an increased accumulation of protumoral macrophages that express the mannose receptor (CD206) and scavenger receptor A (CD204) compared to controls. The relevance of TAp73 expression in human breast carcinoma was further accentuated by revealing that TAp73 expression correlates negatively with the accumulation of protumoral CD163<sup>+</sup> macrophages in breast cancer patient samples. Taken together, our findings suggest that TAp73 regulates macrophage accumulation and phenotype in breast cancer through inhibition of the NF-&#x3ba;B pathway.",2021,"NF-&#x3ba;B; breast cancer; p73; tumor-associated macrophages; Animals; Antigens, CD; Antigens, Differentiation, Myelomonocytic; Breast Neoplasms; Chemokine CCL2; Female; Humans; Membrane Glycoproteins; Mice; NF-kappa B; Receptors, Cell Surface; Receptors, Immunologic; Scavenger Receptors, Class A; Signal Transduction; Tumor Microenvironment; Tumor Protein p73; Tumor-Associated Macrophages",4
29468929,MRC1,10.1080/15384101.2018.1444305,Tumor-derived lactate induces M2 macrophage polarization via the activation of the ERK/STAT3 signaling pathway in breast cancer.,"Tumor-associated macrophages (TAM) are prominent components of tumor microenvironment (TME) and capable of promoting cancer progression. However, the mechanisms for the formation of M2-like TAMs remain enigmatic. Here, we show that lactate is a pivotal oncometabolite in the TME that drives macrophage M2-polarization to promote breast cancer proliferation, migration, and angiogenesis. In addition, we identified that the activation of ERK/STAT3, major signaling molecules in the lactate signaling pathway, deepens our molecular understanding of how lactate educates TAMs. Moreover, suppression of ERK/STAT3 signaling diminished tumor growth and angiogenesis by abolishing lactate-induced M2 macrophage polarization. Finally, research data of the natural compound withanolide D provide evidence for ERK/STAT3 signaling as a potential therapeutic strategy for the prevention and treatment of breast cancer. These findings suggest that the lactate-ERK/STAT3 signaling pathway is a driver of breast cancer progression by stimulating macrophage M2-like polarization and reveal potential new therapeutic targets for breast cancer treatment.",2019,"Lactate; M2 macrophage polarization; STAT3-ERK1/2 signaling; angiogenesis; breast cancer; Animals; Breast Neoplasms; Cell Line, Tumor; Cell Movement; Cell Proliferation; Extracellular Signal-Regulated MAP Kinases; Female; Humans; Lactic Acid; Macrophages; Membrane Glycoproteins; Mice; Mice, Inbred BALB C; Mice, Nude; Phosphorylation; Receptors, Immunologic; STAT3 Transcription Factor; Signal Transduction; Tumor Microenvironment; Withanolides",4
NA,NCF2,NA,NA,NA,NA,NA,0
31234811,ZNF423,10.1186/s12885-019-5813-z,"Master regulator analysis of paragangliomas carrying SDHx, VHL, or MAML3 genetic alterations.","Succinate dehydrogenase (SDH) loss and mastermind-like 3 (MAML3) translocation are two clinically important genetic alterations that correlate with increased rates of metastasis in subtypes of human paraganglioma and pheochromocytoma (PPGL) neuroendocrine tumors. Although hypotheses propose that succinate accumulation after SDH loss poisons dioxygenases and activates pseudohypoxia and epigenomic hypermethylation, it remains unclear whether these mechanisms account for oncogenic transcriptional patterns. Additionally, MAML3 translocation has recently been identified as a genetic alteration in PPGL, but is poorly understood. We hypothesize that a key to understanding tumorigenesis driven by these genetic alterations is identification of the transcription factors responsible for the observed oncogenic transcriptional changes. We leverage publicly-available human tumor gene expression profiling experiments (N&#xa0;=&#x2009;179) to reconstruct a PPGL tumor-specific transcriptional network. We subsequently use the inferred transcriptional network to perform master regulator analyses nominating transcription factors predicted to control oncogenic transcription in specific PPGL molecular subtypes. Results are validated by analysis of an independent collection of PPGL tumor specimens (N&#xa0;=&#x2009;188). We then perform a similar master regulator analysis in SDH-loss mouse embryonic fibroblasts (MEFs) to infer aspects of SDH loss master regulator response conserved across species and tissue types. A small number of master regulator transcription factors are predicted to drive the observed subtype-specific gene expression patterns in SDH loss and MAML3 translocation-positive PPGL. Interestingly, although EPAS1 perturbation is detectible in SDH-loss and VHL-loss tumors, it is by no means the most potent factor driving observed patterns of transcriptional dysregulation. Analysis of conserved SDH-loss master regulators in human tumors and MEFs implicated ZNF423, a known modulator of retinoic acid response in neuroblastoma. Subsequent functional analysis revealed a blunted cell death response to retinoic acid in SDH-loss MEFs and blunted differentiation response in SDH-inhibited SH-SY5Y neuroblastoma cells. The unbiased analyses presented here nominate specific transcription factors that are likely drivers of oncogenic transcription in PPGL tumors. This information has the potential to be exploited for targeted therapy. Additionally, the observation that SDH loss or inhibition results in blunted retinoic acid response suggests a potential developmental etiology for this tumor subtype.",2019,"Mastermind-like transcriptional coactivator 3; Paraganglioma; Pheochromocytoma; Retinoic acid; Succinate dehydrogenase; Transcription factor; Transcriptional network; von Hippel-Lindau; Adrenal Gland Neoplasms; Algorithms; Animals; Cells, Cultured; DNA-Binding Proteins; Databases, Genetic; Fibroblasts; Humans; Membrane Proteins; Mice; Mutation; Pheochromocytoma; Succinate Dehydrogenase; Trans-Activators; Transcription Factors; Transcriptome; Translocation, Genetic; Tretinoin; Von Hippel-Lindau Tumor Suppressor Protein",1
35015834,ARHGAP25,10.1182/blood.2021013164,Genomic landscape of TCR&#x3b1;&#x3b2; and TCR&#x3b3;&#x3b4; T-large granular lymphocyte leukemia.,"Large granular lymphocyte (LGL) leukemia comprises a group of rare lymphoproliferative disorders whose molecular landscape is incompletely defined. We leveraged paired whole-exome and transcriptome sequencing in the largest LGL leukemia cohort to date, which included 105 patients (93 T-cell receptor &#x3b1;&#x3b2; [TCR&#x3b1;&#x3b2;] T-LGL and 12 TCR&#x3b3;&#x3b4; T-LGL). Seventy-six mutations were observed in 3 or more patients in the cohort, and out of those, STAT3, KMT2D, PIK3R1, TTN, EYS, and SULF1 mutations were shared between both subtypes. We identified ARHGAP25, ABCC9, PCDHA11, SULF1, SLC6A15, DDX59, DNMT3A, FAS, KDM6A, KMT2D, PIK3R1, STAT3, STAT5B, TET2, and TNFAIP3 as recurrently mutated putative drivers using an unbiased driver analysis approach leveraging our whole-exome cohort. Hotspot mutations in STAT3, PIK3R1, and FAS were detected, whereas truncating mutations in epigenetic modifying enzymes such as KMT2D and TET2 were observed. Moreover, STAT3 mutations co-occurred with mutations in chromatin and epigenetic modifying genes, especially KMT2D and SETD1B (P &lt; .01 and P &lt; .05, respectively). STAT3 was mutated in 50.5% of the patients. Most common Y640F STAT3 mutation was associated with lower absolute neutrophil count values, and N647I mutation was associated with lower hemoglobin values. Somatic activating mutations (Q160P, D170Y, L287F) in the STAT3 coiled-coil domain were characterized. STAT3-mutant patients exhibited increased mutational burden and enrichment of a mutational signature associated with increased spontaneous deamination of 5-methylcytosine. Finally, gene expression analysis revealed enrichment of interferon-&#x3b3; signaling and decreased phosphatidylinositol 3-kinase-Akt signaling for STAT3-mutant patients. These findings highlight the clinical and molecular heterogeneity of this rare disorder.",2022,"Amino Acid Transport Systems, Neutral; Exome; Eye Proteins; Genomics; Humans; Leukemia, Large Granular Lymphocytic; Mutation; Nerve Tissue Proteins; RNA Helicases; Receptors, Antigen, T-Cell, alpha-beta; Receptors, Antigen, T-Cell, gamma-delta; STAT3 Transcription Factor",1
NA,SLCO2B1,NA,NA,NA,NA,NA,0
NA,ADAMTS12,NA,NA,NA,NA,NA,0
35585141,IL7R,10.1038/s41375-022-01587-0,Pediatric T-ALL type-1 and type-2 relapses develop along distinct pathways of clonal evolution.,"The mechanisms underlying T-ALL relapse remain essentially unknown. Multilevel-omics in 38 matched pairs of initial and relapsed T-ALL revealed 18 (47%) type-1 (defined by being derived from the major ancestral clone) and 20 (53%) type-2 relapses (derived from a minor ancestral clone). In both types of relapse, we observed known and novel drivers of multidrug resistance including MDR1 and MVP, NT5C2 and JAK-STAT activators. Patients with type-1 relapses were specifically characterized by IL7R upregulation. In remarkable contrast, type-2 relapses demonstrated (1) enrichment of constitutional cancer predisposition gene mutations, (2) divergent genetic and epigenetic remodeling, and (3) enrichment of somatic hypermutator phenotypes, related to BLM, BUB1B/PMS2 and TP53 mutations. T-ALLs that later progressed to type-2 relapses exhibited a complex subclonal architecture, unexpectedly, already at the time of initial diagnosis. Deconvolution analysis of ATAC-Seq profiles showed that T-ALLs later developing into type-1 relapses resembled a predominant immature thymic T-cell population, whereas T-ALLs developing into type-2 relapses resembled a mixture of normal T-cell precursors. In sum, our analyses revealed fundamentally different mechanisms driving either type-1 or type-2 T-ALL relapse and indicate that differential capacities of disease evolution are already inherent to the molecular setup of the initial leukemia.",2022,Child; Clonal Evolution; Humans; Mutation; Precursor T-Cell Lymphoblastic Leukemia-Lymphoma; Recurrence,18
35581375,IL7R,10.1038/s41375-022-01590-5,Mutant IL7R collaborates with MYC to induce T-cell acute lymphoblastic leukemia.,"T-cell acute lymphoblastic leukemia (T-ALL) is an aggressive pediatric cancer. Amongst the wide array of driver mutations, 10% of T-ALL patients display gain-of-function mutations in the IL-7 receptor &#x3b1; chain (IL-7R&#x3b1;, encoded by IL7R), which occur in different molecular subtypes of this disease. However, it is still unclear whether IL-7R mutational activation is sufficient to transform T-cell precursors. Also, which genes cooperate with IL7R to drive leukemogenesis remain poorly defined. Here, we demonstrate that mutant IL7R alone is capable of inducing T-ALL with long-latency in stable transgenic zebrafish and transformation is associated with MYC transcriptional activation. Additionally, we find that mutant IL7R collaborates with Myc to induce early onset T-ALL in transgenic zebrafish, supporting a model where these pathways collaborate to drive leukemogenesis. T-ALLs co-expressing mutant IL7R and Myc activate STAT5 and AKT pathways, harbor reduced numbers of apoptotic cells and remake tumors in transplanted zebrafish faster than T-ALLs expressing Myc alone. Moreover, limiting-dilution cell transplantation experiments reveal that activated IL-7R signaling increases the overall frequency of leukemia propagating cells. Our work highlights a synergy between mutant IL7R and Myc in inducing T-ALL and demonstrates that mutant IL7R enriches for leukemia propagating potential.",2022,"Animals; Animals, Genetically Modified; Carcinogenesis; Child; Humans; Interleukin-7 Receptor alpha Subunit; Precursor T-Cell Lymphoblastic Leukemia-Lymphoma; Receptors, Interleukin-7; Signal Transduction; T-Lymphocytes; Zebrafish",18
35445848,IL7R,10.1007/s12672-022-00480-7,Global expression profiling of CD10&#x2009;+&#x2009;/CD19&#x2009;+&#x2009;pre-B lymphoblasts from Hispanic B-ALL patients correlates with comparative TARGET database analysis.,"Mexico City has one of the highest incidences of acute lymphoblastic leukemia (ALL) globally, with patients showing low survival, and high relapse rates. To gain more insight into the molecular features of B-ALL in Mexican children, we isolated CD10&#x2009;+&#x2009;/CD19&#x2009;+&#x2009;precursor B lymphoblasts from four bone marrow and nine peripheral blood samples of B-ALL patients using a fluorescence-activated cell sorting protocol. The global gene expression profile (BM vs PB) revealed 136 differentially expressed genes; 62 were upregulated (45.6%) and 74 were downregulated (54.4%). Pearson's correlation coefficient was calculated to determine the similarity between pre-B lymphoblast populations. We selected 26 highly significant genes and validated 21 by RT-qPCR (CNN3, STON2, CALN1, RUNX2, GADD45A, CDC45, CDC20, PLK1, AIDA, HCK, LY86, GPR65, PIK3CG, LILRB2, IL7R, TCL1A, DOCK1, HIST1H3G, PTPN14, CD72, and NT5E). The gene set enrichment analysis of the total expression matrix and the ingenuity pathway analysis of the 136 differentially expressed genes showed that the cell cycle was altered in the bone marrow with four overexpressed genes (PLK1, CDC20, CDC45, and GADD45A) and a low expression of IL7R and PIK3CG, which are involved in B cell differentiation. A comparative bioinformatics analysis of 15 bone marrow and 10 peripheral blood samples from Hispanic B-ALL patients collected by the TARGET program, corroborated the genes observed, except for PIK3CG. We conclude the Mexican and the Hispanic B-ALL patients studied present common driver alterations and histotype-specific mutations that could facilitate risk stratification and diagnostic accuracy and serve as potential therapeutic targets.",2022,ARACNE; FACS; PIK3CG; Pediatric precursor B-ALL; SMIM10LB2; TARGET,18
